day,total_revenue,daily_revenue,30_days_ma_revenue,90_days_ma_revenue,180_days_ma_revenue
2024/04/03,464.0258568445071,0.03497564987821988,11.932515610440008,8.140804084875702,8.140804084875702
2024/04/04,464.0629416332787,0.037084788771608146,11.854025179078695,8.001084786667011,8.001084786667011
2024/04/05,464.097394832623,0.0344531993443411,11.696846625719996,7.866057132644593,7.866057132644593
2024/04/06,464.13801348066255,0.040618648039526306,11.48802214408746,7.735633157901175,7.735633157901175
2024/04/07,464.1876846150484,0.04967113438584647,11.027613938796001,7.609633780466497,7.609633780466497
2024/04/08,464.2312167275963,0.043532112547893576,10.449870305133913,7.487599882596842,7.487599882596842
2024/04/09,464.2837620972277,0.052545369631388894,9.861878971767188,7.369583144295803,7.369583144295803
2024/04/10,464.38838447073584,0.10462237350816395,7.933077394465132,7.2560681322522464,7.2560681322522464
2024/04/11,464.50308156578524,0.11469709504939374,6.5196216830541,7.146200885526048,7.146200885526048
2024/04/12,464.9010365779157,0.3979550121304669,3.6203150032678764,7.043954735929146,7.043954735929146
2024/04/13,465.4830689137543,0.582032335838619,1.5102793601074609,6.94750813294272,6.94750813294272
2024/04/14,467.19318903603084,1.7101201222765212,0.11544747920536906,6.870487721021158,6.870487721021158
2024/04/15,467.7336108624825,0.5404218264516771,0.1329626635956913,6.778747635592615,6.778747635592615
2024/04/16,467.9462063108797,0.21259544839716682,0.13850219834040256,6.684945461489823,6.684945461489823
2024/04/17,468.28247946557883,0.33627315469914265,0.1483844253013937,6.59552754167587,6.59552754167587
2024/04/18,468.83636622337144,0.5538867577926112,0.16659305109802175,6.511615864121936,6.511615864121936
2024/04/19,469.0589279911423,0.22256176777085557,0.1737531638779861,6.425464438144524,6.425464438144524
2024/04/20,469.39882766427473,0.33989967313243596,0.18461427520534243,6.343227076455171,6.343227076455171
2024/04/21,470.8656402736688,1.4668126093940828,0.23333800025873566,6.278208216894357,6.278208216894357
2024/04/22,471.06822324855153,0.20258297488271637,0.2394727289381649,6.198265779499467,6.198265779499467
2024/04/23,471.1226642287629,0.054440980211381884,0.24101256230361326,6.1184758470411795,6.1184758470411795
2024/04/24,471.55243733239945,0.42977310363653487,0.25521172243088963,6.045543760587274,6.045543760587274
2024/04/25,472.0338607817189,0.48142344931943626,0.271112287472702,5.975111857912998,5.975111857912998
2024/04/26,472.3092634428055,0.27540266108661626,0.28014238386330514,5.903865492952668,5.903865492952668
2024/04/27,473.1698500817915,0.8605866389859784,0.3086453538437089,5.841602791051844,5.841602791051844
2024/04/28,473.52470061588724,0.3548505340957604,0.3202381407689529,5.774691178162136,5.774691178162136
2024/04/29,474.34310393149053,0.818403315603291,0.3468713100380872,5.714976866565042,5.714976866565042
2024/04/30,475.92958790165585,1.5864839701653182,0.39924739182002705,5.665828141607902,5.665828141607902
2024/05/01,476.35941103218613,0.42982313053028065,0.41287276344085055,5.604228082654048,5.604228082654048
2024/05/02,476.67822355242777,0.31881252024163587,0.4229114119266304,5.54276976216088,5.54276976216088
2024/05/03,476.7572545893471,0.07903103691933211,0.4243799248280008,5.479968167617874,5.479968167617874
2024/05/04,477.82607944397824,1.0688248546311456,0.45877126035665206,5.429841539061207,5.429841539061207
2024/05/05,478.3529069835105,0.5268275395322348,0.47518373836291516,5.374751494122679,5.374751494122679
2024/05/06,480.8328541934603,2.4799472099498416,0.5564946904265924,5.342587002076314,5.342587002076314
2024/05/07,483.3231183128488,2.4902641193884847,0.6378477899266802,5.3702566034028525,5.31124279457425
2024/05/08,487.4387079230784,4.11558961022962,0.7735830398494045,5.415984254319385,5.298246564309634
2024/05/09,488.33015531595186,0.891447392873431,0.8015464406241393,5.425888473740746,5.250861626982363
