from_address,to_address,tx_hash,timestamp,token_address,reserve_address,token_volume,asset_price,usd_token_amount,log_index,transaction_index,block_number
0x0000000000000000000000000000000000000000,0xd93E25A8B1D645b15f8c736E1419b4819Ff9e6EF,0xe9351d94e0ea84b54a5424df98600e0a34d9cc99beabd7b6ea3fc7dcf0c4c0c2,1714058175,0xe7334Ad0e325139329E747cF2Fc24538dD564987,0xd988097fb8612cc24eeC14542bC03424c656005f,1146,0.99997657,1145.9731492199999,11,4,6945296
0x0000000000000000000000000000000000000000,0xD6Af4a5f56d2172BE50D07986F2eeE6622B68F78,0xe9351d94e0ea84b54a5424df98600e0a34d9cc99beabd7b6ea3fc7dcf0c4c0c2,1714058175,0xe7334Ad0e325139329E747cF2Fc24538dD564987,0xd988097fb8612cc24eeC14542bC03424c656005f,900,0.99997657,899.9789129999999,16,4,6945296
0x0000000000000000000000000000000000000000,0xd93E25A8B1D645b15f8c736E1419b4819Ff9e6EF,0x9dc40c12fc6d5842fa6ce05a72c74b677a02657d73618a22ef4f07d4121bb0e7,1714058517,0xe7334Ad0e325139329E747cF2Fc24538dD564987,0xd988097fb8612cc24eeC14542bC03424c656005f,4001,0.99997657,4000.9062565699996,4,2,6945467
0x0000000000000000000000000000000000000000,0xe6FfD71F80cdea8C48d22068e0e35343619ADFF6,0x9dc40c12fc6d5842fa6ce05a72c74b677a02657d73618a22ef4f07d4121bb0e7,1714058517,0xe7334Ad0e325139329E747cF2Fc24538dD564987,0xd988097fb8612cc24eeC14542bC03424c656005f,1391255,0.99997657,1391222.40289535,9,2,6945467
0x0000000000000000000000000000000000000000,0xd93E25A8B1D645b15f8c736E1419b4819Ff9e6EF,0xf0355885dd4d9585997a2b6afb2c8776180f480168d08f077e4281665e0808de,1714058617,0xe7334Ad0e325139329E747cF2Fc24538dD564987,0xd988097fb8612cc24eeC14542bC03424c656005f,1170,0.99997657,1169.9725869,0,1,6945517
0x0000000000000000000000000000000000000000,0xd93E25A8B1D645b15f8c736E1419b4819Ff9e6EF,0xbb5da4f0506b89d99e2225541a09e2f68377378e4ea6b37deb175bc3502b5282,1714058779,0xe7334Ad0e325139329E747cF2Fc24538dD564987,0xd988097fb8612cc24eeC14542bC03424c656005f,1895,0.99997657,1894.95560015,2,3,6945598
0x0000000000000000000000000000000000000000,0xd93E25A8B1D645b15f8c736E1419b4819Ff9e6EF,0xec5b9cdeef00e8878d572233734c718509953e3534f7a99508db1a32233bc569,1714058875,0xe7334Ad0e325139329E747cF2Fc24538dD564987,0xd988097fb8612cc24eeC14542bC03424c656005f,1123,0.99997657,1122.97368811,17,5,6945646
0x0000000000000000000000000000000000000000,0xd93E25A8B1D645b15f8c736E1419b4819Ff9e6EF,0x745ce18306833d14eef27e1b1c7226f18797c0160108c35b372966ebf204c918,1714059083,0xe7334Ad0e325139329E747cF2Fc24538dD564987,0xd988097fb8612cc24eeC14542bC03424c656005f,2433,0.99997657,2432.94299481,7,6,6945750
0x0000000000000000000000000000000000000000,0xd93E25A8B1D645b15f8c736E1419b4819Ff9e6EF,0x8d1e80fe23e74240ba457c5f698b5c146d27e7ac0f8244b21b830f990ca429b5,1714059477,0xe7334Ad0e325139329E747cF2Fc24538dD564987,0xd988097fb8612cc24eeC14542bC03424c656005f,4609,0.99997657,4608.892011129999,20,5,6945947
0x62719aC7381140c788420C83fbcD9319620ed486,0x0000000000000000000000000000000000000000,0x8d1e80fe23e74240ba457c5f698b5c146d27e7ac0f8244b21b830f990ca429b5,1714059477,0xe7334Ad0e325139329E747cF2Fc24538dD564987,0xd988097fb8612cc24eeC14542bC03424c656005f,14270306,0.99997657,14269971.64673042,25,5,6945947
