from_address,to_address,tx_hash,timestamp,token_address,reserve_address,token_volume,asset_price,usd_token_amount,log_index,transaction_index,block_number
0x0000000000000000000000000000000000000000,0xd93E25A8B1D645b15f8c736E1419b4819Ff9e6EF,0x034a96f761611f1d35a00b1cc971a80e185209669d2e708064e248282a890e35,1714047903,0xe7334Ad0e325139329E747cF2Fc24538dD564987,0xd988097fb8612cc24eeC14542bC03424c656005f,117,1.00006449,117.00754533,5,2,6940160
0x0bddf4E169c35b77186C6CE1c987408689C4634D,0x0000000000000000000000000000000000000000,0x034a96f761611f1d35a00b1cc971a80e185209669d2e708064e248282a890e35,1714047903,0xe7334Ad0e325139329E747cF2Fc24538dD564987,0xd988097fb8612cc24eeC14542bC03424c656005f,521476345,1.00006449,521509975.00948906,10,2,6940160
0x0000000000000000000000000000000000000000,0xd93E25A8B1D645b15f8c736E1419b4819Ff9e6EF,0x2eb4337d58bb71de4e6dc1af5b59ea80cfde466caa10f99adfea64f1bd4c464c,1714048167,0xe7334Ad0e325139329E747cF2Fc24538dD564987,0xd988097fb8612cc24eeC14542bC03424c656005f,3082,1.00006449,3082.19875818,12,5,6940292
0x0000000000000000000000000000000000000000,0x4bbA227f37406063A2D2B6211865F2b4DE7175dd,0x2eb4337d58bb71de4e6dc1af5b59ea80cfde466caa10f99adfea64f1bd4c464c,1714048167,0xe7334Ad0e325139329E747cF2Fc24538dD564987,0xd988097fb8612cc24eeC14542bC03424c656005f,21800,1.00006449,21801.405882,17,5,6940292
0x0000000000000000000000000000000000000000,0xd93E25A8B1D645b15f8c736E1419b4819Ff9e6EF,0x92268ed82a3d1ca72cc096a7135897ccc65095e84553ea3cf9ce11ea8ad33996,1714048229,0xe7334Ad0e325139329E747cF2Fc24538dD564987,0xd988097fb8612cc24eeC14542bC03424c656005f,724,1.00006449,724.0466907599999,11,7,6940323
0x0000000000000000000000000000000000000000,0xBa14FDAdCBa73E2e1802A02a3763438746b7BbA1,0x92268ed82a3d1ca72cc096a7135897ccc65095e84553ea3cf9ce11ea8ad33996,1714048229,0xe7334Ad0e325139329E747cF2Fc24538dD564987,0xd988097fb8612cc24eeC14542bC03424c656005f,8400,1.00006449,8400.541716,16,7,6940323
0x0000000000000000000000000000000000000000,0xd93E25A8B1D645b15f8c736E1419b4819Ff9e6EF,0x8dffbdc478d068f797b448ac54165a7c90774f190506ce7e7452cfcabba6f010,1714048281,0xe7334Ad0e325139329E747cF2Fc24538dD564987,0xd988097fb8612cc24eeC14542bC03424c656005f,607,1.00006449,607.03914543,12,5,6940349
0x0000000000000000000000000000000000000000,0x8Cc54Dfe0CDaBE261C9e4472b9BB8c99A849a4B7,0x8dffbdc478d068f797b448ac54165a7c90774f190506ce7e7452cfcabba6f010,1714048281,0xe7334Ad0e325139329E747cF2Fc24538dD564987,0xd988097fb8612cc24eeC14542bC03424c656005f,24200,1.00006449,24201.560658,17,5,6940349
0x0000000000000000000000000000000000000000,0xd93E25A8B1D645b15f8c736E1419b4819Ff9e6EF,0xae9e6b2624a9a2716a12cfd921bfabb418f422fad1bff7c331db8407752f85c1,1714048297,0xe7334Ad0e325139329E747cF2Fc24538dD564987,0xd988097fb8612cc24eeC14542bC03424c656005f,187,1.00006449,187.01205962999998,0,1,6940357
0x2A939f0e0a27a1a65D2FE392F1329235ebfb4916,0x0000000000000000000000000000000000000000,0xae9e6b2624a9a2716a12cfd921bfabb418f422fad1bff7c331db8407752f85c1,1714048297,0xe7334Ad0e325139329E747cF2Fc24538dD564987,0xd988097fb8612cc24eeC14542bC03424c656005f,90169509,1.00006449,90175324.0316354,5,1,6940357
0x0000000000000000000000000000000000000000,0xd93E25A8B1D645b15f8c736E1419b4819Ff9e6EF,0x85c2c9427cd2c311655ca23b0cc4a3e05c18bc0e262bd66fea581826b0213770,1714048391,0xe7334Ad0e325139329E747cF2Fc24538dD564987,0xd988097fb8612cc24eeC14542bC03424c656005f,1097,1.00006449,1097.07074553,0,3,6940404
0x0000000000000000000000000000000000000000,0xd93E25A8B1D645b15f8c736E1419b4819Ff9e6EF,0xf9fc4ecd07bcf87dcd401808153818fe0882417e7bdf0a68e535a252c6bc3d94,1714048459,0xe7334Ad0e325139329E747cF2Fc24538dD564987,0xd988097fb8612cc24eeC14542bC03424c656005f,794,1.00006449,794.05120506,4,3,6940438
0x0000000000000000000000000000000000000000,0xD7698C7bAeA03e6f5196Ea8c06896B00e3fc719F,0xf9fc4ecd07bcf87dcd401808153818fe0882417e7bdf0a68e535a252c6bc3d94,1714048459,0xe7334Ad0e325139329E747cF2Fc24538dD564987,0xd988097fb8612cc24eeC14542bC03424c656005f,20100,1.00006449,20101.296249,9,3,6940438
0x0000000000000000000000000000000000000000,0xd93E25A8B1D645b15f8c736E1419b4819Ff9e6EF,0x449cb7f3936d590bc958aa515bd48d1ddb1c146238fb35e0b5e5958874e165bb,1714049119,0xe7334Ad0e325139329E747cF2Fc24538dD564987,0xd988097fb8612cc24eeC14542bC03424c656005f,7705,1.00006449,7705.49689545,4,3,6940768
0x0000000000000000000000000000000000000000,0x1f86fCc12BD387e80Ab629B501977C9454862889,0x449cb7f3936d590bc958aa515bd48d1ddb1c146238fb35e0b5e5958874e165bb,1714049119,0xe7334Ad0e325139329E747cF2Fc24538dD564987,0xd988097fb8612cc24eeC14542bC03424c656005f,21403,1.00006449,21404.38027947,9,3,6940768
0x0000000000000000000000000000000000000000,0xd93E25A8B1D645b15f8c736E1419b4819Ff9e6EF,0xfc2e1aa6d4269e1592e179a9a6d188a3ef4737c1fd0fb11aa48ec9d3cf960997,1714049949,0xe7334Ad0e325139329E747cF2Fc24538dD564987,0xd988097fb8612cc24eeC14542bC03424c656005f,9690,1.00006449,9690.6249081,1,2,6941183
0x0000000000000000000000000000000000000000,0x0478C05faad97eEdc5773bd069F09FD07E89CdCf,0xfc2e1aa6d4269e1592e179a9a6d188a3ef4737c1fd0fb11aa48ec9d3cf960997,1714049949,0xe7334Ad0e325139329E747cF2Fc24538dD564987,0xd988097fb8612cc24eeC14542bC03424c656005f,15500,1.00006449,15500.999595,6,2,6941183
0x0000000000000000000000000000000000000000,0xd93E25A8B1D645b15f8c736E1419b4819Ff9e6EF,0xfaa3b387059812caaa35d1e5abaeceb24397f350f70a2c75b29fb90b2748bbbb,1714050335,0xe7334Ad0e325139329E747cF2Fc24538dD564987,0xd988097fb8612cc24eeC14542bC03424c656005f,4506,1.00006449,4506.29059194,3,3,6941376
0x0000000000000000000000000000000000000000,0x11d2D0e3213856436eB63846bbF7Bf19811491b4,0xfaa3b387059812caaa35d1e5abaeceb24397f350f70a2c75b29fb90b2748bbbb,1714050335,0xe7334Ad0e325139329E747cF2Fc24538dD564987,0xd988097fb8612cc24eeC14542bC03424c656005f,13300,1.00006449,13300.857716999999,8,3,6941376
0x0000000000000000000000000000000000000000,0xd93E25A8B1D645b15f8c736E1419b4819Ff9e6EF,0xaf74b2d74b451dd652b16506e2cfde138da97de096a3c3c2e2b8536dfd0223c7,1714050343,0xe7334Ad0e325139329E747cF2Fc24538dD564987,0xd988097fb8612cc24eeC14542bC03424c656005f,93,1.00006449,93.00599756999999,5,2,6941380
