tx_hash,liquidator_address,collateral_redeemed,number_of_collateral_redeemed_tokens,ern_redeemed,collateral_fee,timestamp,block_number
0xeac797a1de0012f082ae7083a937c5ee2df5c3b23ef19698acdb78bb49678889,0x295c6074F090f85819cbC911266522e43A8e0f4A,0x78c1b0C915c4FAA5FffA6CAbf0219DA63d7f4cb8,159875175057148570350,139842815622487854486,7.139497965905482e+18,1710536190,61202939
0x64c8fc640c4caed68d62d7e416781c00bc45983c60d11ef76c40227121e2e8f9,0x295c6074F090f85819cbC911266522e43A8e0f4A,0xcDA86A272531e8640cD7F1a92c01839911B90bb0,468707055440027926,1769376389421364859664,2.262324770449643e+16,1710520012,61194850
0xcd6253d0b2a96dd247913babc8f70136fd8b71af1ca6baa470eecc9fcc1ff810,0x295c6074F090f85819cbC911266522e43A8e0f4A,0x78c1b0C915c4FAA5FffA6CAbf0219DA63d7f4cb8,156604534010269565726,150643921142765650034,5.398444816115892e+18,1710447523,61117309
0x9bc8fb210b95f171d3b594ec24f50ac76ffbb2d2a9e3aa466a3ced79a9f8fac1,0x295c6074F090f85819cbC911266522e43A8e0f4A,0xcDA86A272531e8640cD7F1a92c01839911B90bb0,4.129114767002743e+17,1641151565785104656250,9781781264794732.0,1710428308,61073820
0x570b4ccf507529209ec6d92fff22cc23df14447d7a5c60e65fdd8ea8e8a25bde,0x295c6074F090f85819cbC911266522e43A8e0f4A,0xcDA86A272531e8640cD7F1a92c01839911B90bb0,4.93940476038348e+17,1994151813244042772116,1.0105199917215088e+16,1710421017,61058336
0x29030b6c8c1d3fd8152b53d461542a506e4103829c8d7f4993e1601231bb2486,0x295c6074F090f85819cbC911266522e43A8e0f4A,0xcDA86A272531e8640cD7F1a92c01839911B90bb0,3.486090424760244e+17,1416869381351863045693,6258979584285238.0,1710401878,61018958
0x98b46eb1a52a3c22dbf72ca8ca346777920b854e5f7d205c0c2646c76485691a,0x295c6074F090f85819cbC911266522e43A8e0f4A,0xdEAddEaDdeadDEadDEADDEAddEADDEAddead1111,3.081150568024408e+17,1229055555832096007711,6501051549972807.0,1710363566,60934731
0xad7cc7cf6001c8f67ca663df37032f742f454a4d7200536fd4a3eca72d126004,0x295c6074F090f85819cbC911266522e43A8e0f4A,0xdEAddEaDdeadDEadDEADDEAddEADDEAddead1111,2.249400078460598e+17,900204758186308351382,4122350692143868.0,1710357568,60919646
0xc843f1f8ea1110f52302bd41b5d1f6965ce0e47b8aa81fb0c037a40c855ff3ca,0x295c6074F090f85819cbC911266522e43A8e0f4A,0xcDA86A272531e8640cD7F1a92c01839911B90bb0,4.293745395873457e+17,1746417353094836818406,7459810303352995.0,1710346760,60898343
0x9ce61eb26d0e888f4f7ccb931f8b153c33b480165493533b44c1325bd4599692,0x295c6074F090f85819cbC911266522e43A8e0f4A,0xdEAddEaDdeadDEadDEADDEAddEADDEAddead1111,2.24755308677289e+17,909069141742765744275,3634555927888512.0,1710316028,60846755
0x29a13d1dfde9c7066dbd433b51a243808f72701d8cc1f81a4cc8f31d12fd6dc6,0x295c6074F090f85819cbC911266522e43A8e0f4A,0xdEAddEaDdeadDEadDEADDEAddEADDEAddead1111,2.046329006949977e+17,807636573127158444892,3933750564298249.0,1710282334,60776059
0x5e865890957dd7840995e805501d724f086b910294cca1577b7e5d314c170dbe,0x295c6074F090f85819cbC911266522e43A8e0f4A,0xcDA86A272531e8640cD7F1a92c01839911B90bb0,2.1895187651117728e+17,885554798477527463952,2987775265571030.0,1710277320,60757807
0xdd4842048873813c695ebad1bb06ac1cd0f4f4b32eee30126e2733b4d87860df,0x295c6074F090f85819cbC911266522e43A8e0f4A,0xcDA86A272531e8640cD7F1a92c01839911B90bb0,1.53040026459991e+17,625180628520940392945,2026558240016584.8,1710255386,60709484
0x1f89237cdab8a8358ae02e4890e20453a3823bfa346668e6565a5ea76bf9c880,0x295c6074F090f85819cbC911266522e43A8e0f4A,0xdEAddEaDdeadDEadDEADDEAddEADDEAddead1111,2.030666313897142e+17,809650519679978896575,2453804884499783.0,1710232558,60664997
0xa39637f239cfca4e02fce7eb4d4ffdd0b8e3984ba1fd46b924ce52b3d17dc591,0x295c6074F090f85819cbC911266522e43A8e0f4A,0xdEAddEaDdeadDEadDEADDEAddEADDEAddead1111,1.8180082601378298e+17,742216416267350095247,1328157365933106.0,1710202899,60619417
0xc043163e6203f8aea96d61df8f46195d56946d247e64c218f4898b939320de42,0x295c6074F090f85819cbC911266522e43A8e0f4A,0xdEAddEaDdeadDEadDEADDEAddEADDEAddead1111,4.568218036698917e+17,1490167341868903970223,5004609530531043.0,1712065850,61967769
0xdda2ef22e8a4b0c905741f188cab22cb84f2862348fb8475e06fb76329137df4,0x295c6074F090f85819cbC911266522e43A8e0f4A,0xdEAddEaDdeadDEadDEADDEAddEADDEAddead1111,2.942100775902002e+17,1009914015007363610643,3125971180211610.0,1711995904,61932796
0xa1223974cb0944a893f41e452b1f8a99dfbe21beffd0bb6ea74b154025c907c6,0x295c6074F090f85819cbC911266522e43A8e0f4A,0xdEAddEaDdeadDEadDEADDEAddEADDEAddead1111,3.752606058619463e+17,1330584045841054706508,3842837541802056.0,1711957712,61913700
0xbf513dd7c977572dc813ca0f7c3350ecd664457f9d6aa21774a3493d086919b7,0x295c6074F090f85819cbC911266522e43A8e0f4A,0xdEAddEaDdeadDEadDEADDEAddEADDEAddead1111,3.174489464447523e+17,1110349465397312360372,5717949476715221.0,1711826974,61848331
0xe8610151ad2c7c35f567a363638add2092eec4de80665dfff2dfb825fe9a327b,0x295c6074F090f85819cbC911266522e43A8e0f4A,0xdEAddEaDdeadDEadDEADDEAddEADDEAddead1111,5.010127149888518e+17,1754098121511043816123,8417645216491526.0,1711787430,61828559
0x6e46c136e8262a2d650cdb0f526fb68c42101a15ab3bae9f89e3893c60347c57,0x295c6074F090f85819cbC911266522e43A8e0f4A,0xdEAddEaDdeadDEadDEADDEAddEADDEAddead1111,3.98128002144403e+17,1400295375568956156216,6232712922156781.0,1711762076,61815882
0xb890d7c2f4e26f353572ebdd635e4ec4a8fad7587803bea5fbd752c84ccf27a8,0x295c6074F090f85819cbC911266522e43A8e0f4A,0xdEAddEaDdeadDEadDEADDEAddEADDEAddead1111,4.80666267017499e+17,1695461333644829507541,8642005194191712.0,1711699706,61784697
