,contract_address,minute,price,symbol
1873,0x96f6ef951840721adbf46ac996b59e0235cb985c,2024-04-16 14:48:00.000 UTC,1.034279,USDY
1874,0xd5f7838f5c461feff7fe49ea5ebaf7728bb0adfa,2024-04-16 14:50:00.000 UTC,3143.74,mETH
1875,0x96f6ef951840721adbf46ac996b59e0235cb985c,2024-04-16 14:50:00.000 UTC,1.035223,USDY
1876,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,2024-04-16 14:50:00.000 UTC,1.001483,USDC
1877,0xdac17f958d2ee523a2206206994597c13d831ec7,2024-04-16 14:50:00.000 UTC,1.001447,USDT
1878,0x3c3a81e81dc49a522a592e7622a7e711c06bf354,2024-04-16 14:50:00.000 UTC,1.085186,MNT
1879,0x3c3a81e81dc49a522a592e7622a7e711c06bf354,2024-04-16 14:50:00.000 UTC,1.085186,MNT
1880,0x2260fac5e5542a773aa44fbcfedf7c193bc2c599,2024-04-16 14:50:00.000 UTC,62591.29,WBTC
1881,0x3c3a81e81dc49a522a592e7622a7e711c06bf354,2024-04-16 14:50:00.000 UTC,1.085186,MNT
1882,0x6b175474e89094c44da98b954eedeac495271d0f,2024-04-16 14:50:00.000 UTC,1.001021,DAI
1883,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,2024-04-16 14:50:00.000 UTC,3067.19,WETH
1884,0x96f6ef951840721adbf46ac996b59e0235cb985c,2024-04-16 14:52:00.000 UTC,1.035223,USDY
1885,0x96f6ef951840721adbf46ac996b59e0235cb985c,2024-04-16 14:54:00.000 UTC,1.035223,USDY
1886,0x3c3a81e81dc49a522a592e7622a7e711c06bf354,2024-04-16 14:55:00.000 UTC,1.08229,MNT
1887,0x3c3a81e81dc49a522a592e7622a7e711c06bf354,2024-04-16 14:55:00.000 UTC,1.08229,MNT
1888,0x96f6ef951840721adbf46ac996b59e0235cb985c,2024-04-16 14:56:00.000 UTC,1.035379,USDY
