tx_hash,trove_owner,collateral_redeemed,number_of_collateral_tokens,debt,operation,timestamp,contract_type,block_number
0x40d44b000b39981d5153bdd8f5dceb05f98e79d18333b17e5a55f4b098392ae6,0x1D378a62412B1BD6116d0DB7DfE5d83410387898,0xdEAddEaDdeadDEadDEADDEAddEADDEAddead1111,1.4375470969476774e+19,37289496679183654988271,3,1710850162,trove_manager,61359925
0x5786d93639351467bfd6119887d7a4e5ecb8d7cd5e816bf516f1f12c6868a0d2,0x1D378a62412B1BD6116d0DB7DfE5d83410387898,0xdEAddEaDdeadDEadDEADDEAddEADDEAddead1111,1.521009342197925e+19,40051828208775193081004,3,1710784592,trove_manager,61327140
0xba266fbd8d3453a07b5b7aec1045aa2a95eb4d5ac7185ea7979bfdc5396cab2b,0x1D378a62412B1BD6116d0DB7DfE5d83410387898,0xdEAddEaDdeadDEadDEADDEAddEADDEAddead1111,1.626104021846936e+19,43748794934557611491489,3,1710749778,trove_manager,61309733
0x6775850327ea042bbc0bcb3dbb5aa369b553498bd7bbe1989b9d4d5fe7d29274,0x1D378a62412B1BD6116d0DB7DfE5d83410387898,0xdEAddEaDdeadDEadDEADDEAddEADDEAddead1111,1.6020588917906067e+19,42894789989494091479672,3,1710769962,trove_manager,61319825
0x10b4e841ebd626f5140d9ee67b55049e4b5678d36d250dd46e570f191418e49d,0x1D378a62412B1BD6116d0DB7DfE5d83410387898,0xdEAddEaDdeadDEadDEADDEAddEADDEAddead1111,1.5594033566189615e+19,41400156886016033069785,3,1710774766,trove_manager,61322227
0x465e8e197f3e1637f53d8f541d845fc685dc9a949cb6d3740e41960df5c1feaf,0x16ef04260Ca959C75bd8d4247874517c9cF74d12,0xdEAddEaDdeadDEadDEADDEAddEADDEAddead1111,3.126439359867653e+18,8114419215311055431341,3,1710716938,trove_manager,61293313
0xf58f4d302ec6b37ff0b270bd3fe8c9d4f47cabfd60e65e4e3592fa800bb711ee,0xe0e67FE9E2C8dcBAF91ef04a9A39211bcEdd3c7F,0xcDA86A272531e8640cD7F1a92c01839911B90bb0,0.0,0,3,1710722166,trove_manager,61295927
0xf58f4d302ec6b37ff0b270bd3fe8c9d4f47cabfd60e65e4e3592fa800bb711ee,0xe5729A7048730769b9Fa78B142DF80C28199985a,0xcDA86A272531e8640cD7F1a92c01839911B90bb0,0.0,0,3,1710722166,trove_manager,61295927
0xf58f4d302ec6b37ff0b270bd3fe8c9d4f47cabfd60e65e4e3592fa800bb711ee,0xF93A5F0A4925EeC32cD585641c88a498523f383C,0xcDA86A272531e8640cD7F1a92c01839911B90bb0,8.502191627203488e+17,957879752387783365387,3,1710722166,trove_manager,61295927
0xbe7ef25fb5f3690b744b7fa6a1e9ea50ef6b171d1b65d04ad8ac4bfd8b237f54,0x1D378a62412B1BD6116d0DB7DfE5d83410387898,0xdEAddEaDdeadDEadDEADDEAddEADDEAddead1111,1.6707804531086617e+19,45360377995605750122011,3,1710722470,trove_manager,61296079
0x5a657bf00aa21738d6d9500ff0af148348cf291167ff1d4193037493694ec69d,0x1D378a62412B1BD6116d0DB7DfE5d83410387898,0xdEAddEaDdeadDEadDEADDEAddEADDEAddead1111,1.775648750686776e+19,49132254396907071526682,3,1710659600,trove_manager,61264644
0x65b0c933d06b20c1f7143baad4ffddb6847564dd40f3f87b3501e3ebb5e51b4b,0x1D378a62412B1BD6116d0DB7DfE5d83410387898,0xdEAddEaDdeadDEadDEADDEAddEADDEAddead1111,1.7383118915425909e+19,47790851200070170815763,3,1710673550,trove_manager,61271619
